osm_id,addr:city,addr:postcode,addr:street,alt_name,amenity,cuisine,int_name,name,name:en,opening_hours,website,wheelchair,wheelchair:description,email,level,outdoor_seating,phone,sells:ice_cream,smoking,addr:city:en,addr:country,addr:housename,addr:street:en,takeaway,addr:housenumber,internet_access,internet_access:fee,payment:american_express,payment:coins,payment:maestro,payment:mastercard,payment:notes,payment:visa,payment:visa_electron,description,addr:housename:en,operator,name:mk,diet:vegan,capacity,diet:sugar_free,diet:vegetarian,building,building:levels,office,layer,fax,payment:diners_club,name:nl,name:tr,shop,delivery,is_in,old_name,leisure,WKT
309894643,Skopje,1000,Ploštad Makedonija,Dal Met Fu,restaurant,italian,Pelister,Pelister,Pelister,Mo-Th 07:00-00:00; Fr-Sa 07:00-01:00; Su 10:30-00:00,https://www.pelisterhotel.com.mk/,yes,Toilet not accessible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4315703 41.9953933)
411006922,,,,,restaurant,,,Intermeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4140669 41.9947432)
459668914,,,,,restaurant,italian,,Kaj Džino,Gino,"Mo 08:00-24:00, Tu,We,Fr,Sa 09:00-24:00, Th 09:00-23:00, Su 09:00-01:00",http://www.restorangino.mk/,,,contact@restorangino.mk,1,yes,+389 2 3121109,yes,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4342799 41.9943261)
459669063,Ckopje,1000,Kej 13 Noemvri,,restaurant,latin_american,Plaza de Toros,Plaza de Toros,,,,,,,,,,,,Skopje,MK,Gradski Trgovski Centar Skopje,Kay 13th November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4350117 41.9952455)
908273433,,,,,restaurant,regional,,Tupict,Turist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4367576 42.0003099)
1380378702,,,,,restaurant,,,Boemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.415982 41.9985008)
1747649203,,,,,restaurant,,,Krčma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4151525 41.9946274)
1748017584,Skopje,,,,restaurant,regional,,Marana,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4204906 41.9904847)
1751563134,Ckopje,,Bulevar Kliment Ohridski,,restaurant,international,,Pastel Wine & Dine,Pastel Wine & Dine,Mo-Fr 06:30-21:00; Sa 06:30-17:00; Su 06:30-16:00,http://pastel.mk/,yes,,,,,+389 2 3214447,,outside,Skopje,MK,,Kliment Ohridski Boulevard,yes,66,wlan,no,no,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,POINT (21.4245254 41.9947645)
1752178268,,,,,restaurant,italian,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4163482 41.9922398)
1770866402,,1000,T.C Bunjakovec prv kat lok 36,,restaurant,pizza,,Picerija Libertas,,,,,,,,,38970567295,,,,,libertas,,,,,,,,,,,,,Coffee&pizza restaurant Libertas,,,,,,,,,,,,,,,,,,,,,POINT (21.4207447 41.9987097)
1867176020,,,,,restaurant,international,Trend,Trend,Trend,,,limited,Toilet not accessible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4304595 41.9957062)
1868812117,Ckopje,1000,Vladimir Poležanovski,,restaurant,barbecue,,Destan,,Mo-Su 09:00-23:00,https://destan.mk/pocetna/,,,,,yes,38923127324,,separated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4204158 41.9987513)
1985948203,,,,,restaurant,italian,,Balila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.416522 41.9922245)
1999633538,,,,,restaurant,,,Bifinja - Ramstor,Food Court Ramstore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4280088 41.9913687)
2105387352,Skopje,,Orce Nikolov,,restaurant,,Brukilnski,Bruklinski,Bruklinski,,,limited,,,,yes,+389 2 6091844,,separated,Skopje,MK,,Orce Nikolov,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (21.4252581 42.0001581)
